date_collected,operating_field_name,crop_name,robot_name,experiment_id,_id
2020-04-28,kjhg,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,jkhg,7
2020-04-30,gg,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,ggg,43
2020-04-30,jkhg,NONE_FALLOW_PRE_EMERGE,DCM-MANATEE,RGB888 Check,2
2020-05-02,home,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,sample,30
2020-05-05,y,NONE_FALLOW_PRE_EMERGE,DCM-DOLPHIN,u,129
2020-05-06,behind freddy,SOYBEANS,DCM-MANATEE,senters soybeans,474
2020-05-06,lost john north,COTTON,DCM-MANATEE,holthouse cotton,723
2020-05-07,cementary,SOYBEANS,DCM-MANATEE,greenway cementary,675
2020-05-07,loading dock 2,SOYBEANS,DCM-MANATEE,soybeans,124
2020-05-07,loading docks,SOYBEANS,DCM-MANATEE,loading docks,660
2020-05-07,loading docks2,SOYBEANS,DCM-MANATEE,loading docks,76
2020-05-07,sandhill church,SOYBEANS,DCM-MANATEE,soybeans sandhill,1007
2020-05-08,jkhg,NONE_FALLOW_PRE_EMERGE,DCM-SEAL,Chico4 After power cycle,8
2020-05-08,kljh,OTHER,DCM-SEAL,Chico1,28
2020-05-08,kljh,OTHER,DCM-SEAL,Chico2,35
2020-05-09,6.5 Acres,SOYBEANS,DCM-OTTER,Sat 5/9/20,509
2020-05-09,9 acre jims lane,SOYBEANS,DCM-OTTER,Sat 5/9/20,74
2020-05-09,Cook Farm,SOYBEANS,DCM-OTTER,Sat 5/9/20,594
2020-05-09,Julie/Helen/Flat,CORN,DCM-OTTER,Sat 5/9/20,406
2020-05-09,Kixmiller,SOYBEANS,DCM-OTTER,5/9/2020 IN,553
2020-05-09,Kixmiller,SOYBEANS,DCM-OTTER,Sat 5/9/20,1015
2020-05-09,Silo Field Patch,SOYBEANS,DCM-OTTER,Sat 5/9/20,425
2020-05-09,feed mill,SOYBEANS,DCM-MANATEE,holt house soybeans,663
2020-05-09,mrc2,COTTON,DCM-MANATEE,wilson cotton,550
2020-05-09,mv 1,SOYBEANS,DCM-MANATEE,wilson soybeans,865
2020-05-09,mv13,SOYBEANS,DCM-MANATEE,wilson cotton,572
2020-05-10,airstrip,OTHER,DCM-MANATEE,holthouse Rice,135
2020-05-10,scrivner west,SOYBEANS,DCM-MANATEE,holthouse soybeans,610
2020-05-11,cementary,SOYBEANS,DCM-MANATEE,greenway soybeans,505
2020-05-11,church,SOYBEANS,DCM-MANATEE,greenway soybeans,1428
2020-05-11,church south,SOYBEANS,DCM-MANATEE,greenway coopsoybeans,439
2020-05-11,loading docks,SOYBEANS,DCM-MANATEE,greenway coopsoybeans,998
2020-05-11,luknow,SOYBEANS,DCM-DOLPHIN,luknow beans,593
2020-05-11,luknow,SOYBEANS,DCM-DOLPHIN,newluknow beans,305
2020-05-11,taylor,SOYBEANS,DCM-DOLPHIN,taylor beans,719
2020-05-12,Damery Corner,SOYBEANS,DCM-OTTER,Tues 5/12/2020,388
2020-05-12,Heirs,SOYBEANS,DCM-OTTER,Tues 5/12/2020,1850
2020-05-12,Niel South,CORN,DCM-OTTER,Tues 5/12/2020,1296
2020-05-12,a24,SOYBEANS,DCM-DOLPHIN,ashly beans,87
2020-05-12,c24,SOYBEANS,DCM-DOLPHIN,clearfield beans2,386
2020-05-12,c72,SOYBEANS,DCM-DOLPHIN,clearfield beans,1027
2020-05-12,dariy barns,SOYBEANS,DCM-DOLPHIN,dariy,645
2020-05-13,cockleburr-nw,SOYBEANS,DCM-MANATEE,senter soybeans,684
2020-05-13,mrc 5,COTTON,DCM-MANATEE,d&l farms cotton,469
2020-05-13,mrc 8,COTTON,DCM-MANATEE,d&l farms cotton,985
2020-05-13,river field,SOYBEANS,DCM-MANATEE,holthouse soybeans,79
2020-05-13,river field,SOYBEANS,DCM-MANATEE,senter soybeans,658
2020-05-13,scogFront,SOYBEANS,DCM-DOLPHIN,turner south beans,27
2020-05-14,23,SOYBEANS,DCM-DOLPHIN,maddies beans,761
2020-05-14,7,SOYBEANS,DCM-DOLPHIN,merganzer  beans,516
2020-05-14,JDTIC,CORN,DCM-OTTER,Thur 5/14/2020,274
2020-05-14,JDTIC,CORN,DCM-SEAL,thurs 5/14/2020,486
2020-05-14,JDTIC,SOYBEANS,DCM-OTTER,Thur 5/14/2020,1
2020-05-14,JDTIC,SOYBEANS,DCM-SEAL,thurs 5/14/2020,379
2020-05-14,finger,SOYBEANS,DCM-DOLPHIN,ober east beans,789
2020-05-14,mike doles,COTTON,DCM-DOLPHIN,jones cotton,328
2020-05-14,mike doles,SOYBEANS,DCM-DOLPHIN,jones cotton,465
2020-05-14,tupelo 33&17,SOYBEANS,DCM-MANATEE,greenway coop soybeans,743
2020-05-15,holliman east,SOYBEANS,DCM-MANATEE,holthouse soybeans,1154
2020-05-15,johnny's homeplace,CORN,DCM-SEAL,friday 5/15/2020,568
2020-05-15,kenyon south,SOYBEANS,DCM-SEAL,friday 5/15/2020,1109
2020-05-15,lowrys north60,SOYBEANS,DCM-MANATEE,holthouse soybeans,896
2020-05-15,lowrys pivot,SOYBEANS,DCM-MANATEE,holthouse soybeans,794
2020-05-18,bad bridge n,SOYBEANS,DCM-DOLPHIN,medium beans cross rows,66
2020-05-18,duckhouse,COTTON,DCM-MANATEE,nathanreed cotton,721
2020-05-18,peanut patch,SOYBEANS,DCM-DOLPHIN,medium beans,262
2020-05-18,pivot south,SOYBEANS,DCM-DOLPHIN,cameta beans,345
2020-05-19,WWWWWWWWWWWWWWWWWWWWWWWWW,OTHER,DCM-DOLPHIN,abcdefghijk!@#$%^&*()_+}{,3
2020-05-19,across from shop,SOYBEANS,DCM-SEAL,tuesday 5/19/2020,1026
2020-05-19,behind pivots,SOYBEANS,DCM-MANATEE,greeway pivots soybeans,251
2020-05-19,bhind pivot east,SOYBEANS,DCM-MANATEE,greeway pivots soybeans,656
2020-05-19,bhind pivot east1,SOYBEANS,DCM-MANATEE,greeway pivots soybeans,404
2020-05-19,bhind pivot northend,CORN,DCM-MANATEE,greeway pivots corn,558
2020-05-19,bhind pivot northend,SOYBEANS,DCM-MANATEE,greeway pivots soybeans,81
2020-05-19,bhind pivot west,SOYBEANS,DCM-MANATEE,greeway pivots soybeans,949
2020-05-19,bhind pivot wmid,SOYBEANS,DCM-MANATEE,greeway pivots soybeans,659
2020-05-19,test,NONE_FALLOW_PRE_EMERGE,DCM-OTTER,tett,1
2020-05-20,121,SOYBEANS,DCM-OTTER,Wed 5/20 mid-day,174
2020-05-20,121,SOYBEANS,DCM-OTTER,Wed 5/20 morning,424
2020-05-20,4-H,CORN,DCM-OTTER,Wed 5/20 morning,1446
2020-05-20,Franzen,SOYBEANS,DCM-OTTER,Wed 5/20 mid-day,409
2020-05-20,Randy Field,SOYBEANS,DCM-OTTER,Wed 5/20 mid-day,674
2020-05-21,Bird Dogs 1,COTTON,DCM-DOLPHIN,small cotton,278
2020-05-21,Bird Dogs 1,COTTON,DCM-DOLPHIN,small cotton sand,77
2020-05-21,Boies Bend North,SOYBEANS,DCM-OTTER,Thurs 5/21 afternoon,4
2020-05-21,Boies Bend North,SOYBEANS,DCM-OTTER,Thurs 5/21 latemorning,652
2020-05-21,Bolton Front,COTTON,DCM-DOLPHIN,small cotton,200
2020-05-21,Fletcher Jane's,COTTON,DCM-DOLPHIN,small cotton vol peanuts,251
2020-05-21,Gilliam Southwest,COTTON,DCM-DOLPHIN,small cotton,286
2020-05-21,dexter river,SOYBEANS,DCM-MANATEE,senter soybeans,123
2020-05-21,little river bridge,COTTON,DCM-MANATEE,senter soybeans,235
2020-05-21,lost john north,COTTON,DCM-MANATEE,senter cotton,171
2020-05-21,mv-13,COTTON,DCM-MANATEE,d&l farms soybeans,189
2020-05-21,mv1,SOYBEANS,DCM-MANATEE,d&l farms,137
2020-05-21,mv1,SOYBEANS,DCM-MANATEE,d&l farms soybeans,65
2020-05-21,nat-11,COTTON,DCM-MANATEE,d&l farms cotton,231
2020-05-21,nat-13,COTTON,DCM-MANATEE,d&l farms cotton,176
