,dp_id,MissedWeeds,MissedCrop,CasW,WasC,FPWeed,FPCrop,Total,labeled_instances,actual_instances
125,5ec34937130bc81f9c32a16e,0,0,0,0,0,0,0,20,20
126,5ec34a8d1a6aa0d9a6f1278a,0,0,0,0,0,0,0,18,18
127,5ec1c5254ddd2e50e4c4e215,0,0,0,0,0,0,0,20,20
128,5ec1c5254ddd2e50e4c4e212,0,0,0,0,0,0,0,17,17
129,5ec1c5254ddd2e50e4c4e210,0,0,0,0,0,0,0,52,52
130,5ec5dbdaad147c1941a853e4,0,0,0,0,0,0,0,51,51
131,5ec3780095a225616122e581,0,0,0,0,0,0,0,43,43
132,5ec346d7748112b6107a1d82,0,0,0,0,0,0,0,22,22
133,5ec1c5254ddd2e50e4c4e21e,0,0,3,0,1,0,4,24,20
134,5ec345ea96155c674e9cd983,0,0,0,1,0,0,1,10,11
135,5ec1c5254ddd2e50e4c4e211,0,0,0,0,0,0,0,7,7
136,5ec34149617f979679528487,0,0,0,1,0,0,1,12,13
137,5ec1c5254ddd2e50e4c4e247,0,0,0,0,0,0,0,16,16
138,5ec333e3b7f1f68bd9365daa,0,0,0,0,0,0,0,10,10
139,5ec4b00ece7cf4e480e125a9,0,0,1,0,0,0,1,10,9
140,5ec26252c9fc2d5b4fd0d5f7,0,0,0,0,0,0,0,17,17
141,5ec397780a8e278e826819a4,0,0,0,2,0,0,2,13,15
142,5ec1c5254ddd2e50e4c4e241,0,0,0,0,1,0,1,17,16
143,5ec1c5254ddd2e50e4c4e23f,0,0,0,0,0,0,0,33,33
144,5ec496f7ce7cf4e480e0fd5e,0,0,0,0,0,0,0,22,22
145,5ec1c5254ddd2e50e4c4e23c,0,0,0,0,0,0,0,46,46
146,5ec36a6196155c674e9cdbf2,0,0,0,0,0,0,0,53,53
147,5ec34be9ce41e15139524d9d,2,0,0,0,0,0,2,53,55
148,5ec1c5254ddd2e50e4c4e27c,0,0,0,0,0,0,0,27,27
149,5ec1c5254ddd2e50e4c4e27b,0,0,0,2,0,0,2,15,17
150,5ec1c5254ddd2e50e4c4e27a,1,0,0,0,0,0,1,28,29
151,5ec1c5254ddd2e50e4c4e279,0,0,0,0,0,0,0,15,15
152,5ec396b888a698ac8e803900,0,0,1,0,0,0,1,22,21
153,5ec1c5254ddd2e50e4c4e276,1,0,0,0,0,0,1,21,22
154,5ec1c5254ddd2e50e4c4e274,0,0,0,2,0,0,2,15,17
155,5ec24492d3ed629e3dea84e9,0,0,0,0,0,0,0,12,12
156,5ec1c5254ddd2e50e4c4e26e,0,0,1,0,0,0,1,24,23
157,5ec48b65ce7cf4e480e0e9ef,0,0,0,0,0,0,0,21,21
158,5ec4964fce7cf4e480e0fca2,0,0,0,0,0,0,0,19,19
159,5ec1c5254ddd2e50e4c4e269,0,0,0,0,0,0,0,8,8
160,5ec34c15e323fba40e29150f,1,0,0,3,0,0,4,13,17
161,5ec36e9368b2b38062e2613a,0,0,0,0,0,0,0,24,24
162,5ec23c9659ace122641fe6c0,0,0,1,0,0,0,1,17,16
163,5ec34c0ee323fba40e29150a,1,0,0,1,0,0,2,11,13
164,5ec48e65ce7cf4e480e0ed30,0,0,0,1,0,0,1,21,22
165,5ec226d3728e05b76cab7ca1,0,0,0,0,0,0,0,6,6
166,5ec36673e9936971d3f64038,0,0,0,0,0,0,0,6,6
167,5ec1c5254ddd2e50e4c4e267,0,0,0,0,0,0,0,41,41
168,5ec35cb8fff055e23a575553,2,0,0,0,0,0,2,46,48
169,5ec35936fff055e23a57552c,0,1,0,0,0,0,1,17,17
170,5ec1c5254ddd2e50e4c4e178,0,0,0,0,0,0,0,42,42
171,5ec368815b42580bd632b6d1,0,0,0,0,0,0,0,26,26
172,5ec1c5254ddd2e50e4c4e16c,0,0,0,0,0,1,1,12,12
173,5ec34ddffefe11dba1f22cc7,0,0,0,0,0,0,0,3,3
174,5ec1c5254ddd2e50e4c4e176,0,0,0,0,0,0,0,8,8
175,5ec2174090713e8b26322e63,0,0,1,0,0,0,1,15,14
176,5ec1c5254ddd2e50e4c4e1ec,0,0,0,2,0,0,2,42,44
